No,Team,Team,GP,,2FGM,2FGMS,2P%,3FGM,3FGMS,3P%,FTM,FTMS,FT%,OR,DR,TR,AST,STL,BLK,TO,FLS,SEC,MIN,PTS,GS,TmREB,TmTO,TmFLS
TOT,BYD,BYD,6,,23.67,21.17,52.79,6.5,10.83,37.5,12.5,2.5,83.33,6.17,23.83,30.0,19.0,10.67,1.83,11.83,17.5,12500.0,208.33,79.33,0,4.67,1.0,0.0
TOT,GDY,GDY,6,,22.5,24.17,48.21,7.67,13.5,36.22,11.33,3.33,77.27,12.17,23.0,35.17,18.17,5.83,3.0,11.5,19.33,12250.0,204.17,79.33,0,4.83,0.5,0.0
TOT,GOR,GOR,5,,23.8,19.6,54.84,7.2,10.8,40.0,14.0,4.6,75.27,11.0,24.8,35.8,20.4,7.2,4.8,13.6,20.2,12000.0,200.0,83.2,0,4.0,1.2,0.0
TOT,KRA,KRA,5,,24.0,19.2,55.56,4.4,11.4,27.85,16.6,4.2,79.81,8.6,22.0,30.6,15.8,8.4,2.0,14.6,17.6,12000.0,200.0,77.8,0,4.6,0.8,0.0
TOT,LOD,LOD,5,,16.2,26.0,38.39,6.4,13.8,31.68,12.2,1.6,88.41,10.6,19.8,30.4,12.8,9.2,2.2,16.4,22.4,12300.0,205.0,63.8,0,4.0,1.6,0.0
TOT,LUB,LUB,5,,19.8,20.4,49.25,7.2,12.4,36.73,10.6,4.2,71.62,7.2,22.8,30.0,14.2,10.2,2.8,14.0,17.2,12000.0,200.0,71.8,0,5.6,2.0,0.2
TOT,OST,OST,5,,16.4,18.2,47.4,6.2,14.6,29.81,19.0,5.0,79.17,9.2,20.8,30.0,12.2,7.6,1.0,15.0,21.2,12000.0,200.0,70.4,0,4.8,1.8,0.0
TOT,POL,POL,5,,24.8,19.2,56.36,6.0,13.2,31.25,14.4,4.6,75.79,11.0,23.4,34.4,19.8,8.8,2.4,14.4,19.0,12000.0,200.0,82.0,0,4.6,1.4,0.2
TOT,POZ,POZ,5,,17.8,22.6,44.06,6.0,13.8,30.3,12.6,4.4,74.12,7.8,23.0,30.8,12.6,8.2,1.0,14.6,16.4,12000.0,200.0,66.2,0,6.6,1.0,0.0
TOT,SIE,SIE,5,,19.0,25.2,42.99,3.0,9.6,23.81,19.4,5.4,78.23,9.4,24.2,33.6,13.4,6.0,0.8,16.4,19.2,12300.0,205.0,66.4,0,6.8,0.8,0.0
TOT,SOS,SOS,5,,19.2,21.2,47.52,6.4,13.6,32.0,14.2,4.0,78.02,7.4,21.4,28.8,12.8,7.6,2.0,15.2,14.8,12000.0,200.0,71.8,0,5.2,1.2,0.2
TOT,TOR,TOR,5,,21.8,21.0,50.93,6.6,12.0,35.48,14.2,4.4,76.34,11.4,28.0,39.4,18.8,7.6,2.4,18.8,17.2,12300.0,205.0,77.6,0,6.2,0.6,0.0
TOT,WRO,WRO,4,,23.25,22.5,50.82,5.25,11.5,31.34,13.5,7.5,64.29,10.25,23.75,34.0,17.25,6.5,1.75,12.25,22.5,12000.0,200.0,75.75,0,8.25,0.5,0.0
