No,Team,Team,GP,,ORS M,ORS A,ORS%,ORB M,ORB A,ORB%,ORF M,ORF A,ORF%,DRS M,DRS A,DRS%,DRB M,DRB A,DRB%,DRF M,DRF A,DRF%,ORT M,ORT A,ORT%,DRT M,DRT A,DRT%
TOT,BYD,BYD,22,,7.86,29.55,26.62,0.59,1.45,40.63,0.45,1.36,33.33,23.5,33.41,70.34,1.68,3.0,56.06,1.41,1.82,77.5,8.91,32.36,27.53,26.59,38.23,69.56
TOT,GDY,GDY,24,,9.75,32.17,30.31,0.92,1.92,47.83,0.46,1.54,29.73,24.25,33.04,73.39,1.25,2.71,46.15,1.58,2.21,71.7,11.13,35.63,31.23,27.08,37.96,71.35
TOT,GOR,GOR,23,,10.7,31.48,33.98,1.04,2.3,45.28,0.43,2.0,21.74,22.22,32.13,69.15,1.87,3.17,58.9,1.83,2.39,76.36,12.17,35.78,34.02,25.91,37.7,68.74
TOT,KRA,KRA,21,,9.19,29.62,31.03,0.62,2.24,27.66,0.62,2.57,24.07,24.33,33.57,72.48,1.86,3.19,58.21,1.48,1.86,79.49,10.43,34.43,30.29,27.67,38.62,71.64
TOT,LOD,LOD,22,,10.27,34.36,29.89,0.68,2.41,28.3,0.5,1.77,28.21,19.5,30.59,63.74,1.68,2.95,56.92,1.68,2.36,71.15,11.45,38.55,29.72,22.86,35.91,63.67
TOT,LUB,LUB,23,,10.26,32.48,31.59,1.74,3.96,43.96,0.57,2.57,22.03,22.09,31.65,69.78,1.7,2.52,67.24,1.52,1.78,85.37,12.57,39.0,32.22,25.3,35.96,70.37
TOT,OST,OST,22,,10.09,32.0,31.53,0.82,2.36,34.62,0.36,2.41,15.09,18.55,28.64,64.76,1.09,1.59,68.57,1.95,2.18,89.58,11.27,36.77,30.66,21.59,32.41,66.62
TOT,POL,POL,22,,10.0,28.68,34.87,0.68,1.5,45.45,0.55,2.45,22.22,22.36,30.05,74.43,1.36,2.18,62.5,1.23,1.45,84.38,11.23,32.64,34.4,24.95,33.68,74.09
TOT,POZ,POZ,23,,8.39,33.65,24.94,1.57,3.04,51.43,0.43,2.43,17.86,21.35,32.3,66.08,1.04,1.78,58.54,1.65,2.39,69.09,10.39,39.13,26.56,24.04,36.48,65.91
TOT,SIE,SIE,23,,10.22,34.3,29.78,1.22,2.91,41.79,0.22,2.04,10.64,20.78,30.7,67.71,1.04,1.43,72.73,1.74,2.65,65.57,11.65,39.26,29.68,23.57,34.78,67.75
TOT,SOS,SOS,23,,7.96,32.39,24.56,1.04,2.48,42.11,0.39,1.7,23.08,21.78,31.74,68.63,1.22,2.13,57.14,1.61,2.0,80.43,9.39,36.57,25.68,24.61,35.87,68.61
TOT,TOR,TOR,22,,10.32,31.82,32.43,0.86,2.14,40.43,0.5,1.55,32.35,26.09,36.05,72.38,1.32,2.41,54.72,1.41,1.64,86.11,11.68,35.5,32.91,28.82,40.09,71.88
TOT,WRO,WRO,22,,10.64,31.36,33.91,0.82,2.18,37.5,0.55,2.27,24.0,21.82,30.36,71.86,1.23,1.95,62.79,1.5,1.82,82.5,12.0,35.82,33.5,24.55,34.14,71.9
